Classification	Tweet	id
Awareness	@DavidMuir &gt; with the Doctor Michel Chretien (84 years old)... from Quebec Province... who has already "PRESENTLY" found an 'ANTI-Coronavirus', taken as a 'oral' cough 'sirup' and at a MINIMAL cost... Research on HEALTH issues are a HIGH 'specialty' in Quebec... A 'BLESSING'...//	1236144197989814272
Awareness	Coronavirus: How dangerous is it, when are symptoms likely to appear, who is most at risk of death? https://t.co/8Lk8zDbrzG https://t.co/8GXaSciZKj	1235352748377419777
Infection	Avoiding #Coronavirus May Be a Luxury Some Workers Can't Afford https://t.co/th4y1vWTY6	1234591821336121344
Awareness	@CHogarthPC Your govt needs to help prevent the spread of covid19 by ensuring that all workers have access to paid sick days. Self-isolation slows the spread, but there are many many workers who cannot afford to take a day off. Please effect this change right now.	1238188745553317890
Awareness	@W7VOA @DemocracyStorm @VP Several weeks after other rich, modern countries did such testing to protect their citizens -- while our @POTUS Trump-led government refused #WHO-offered testing kits, and refused to allow tests for Americans with symptoms of #CoronaVirus #COVID19.	1235004291032723456
Infection	2020's ultimate showdown so far -  yellow fever vs coronavirus	1236481098575732736
Awareness	@BKrycheck @DPearceSSC @WGladstone @meaganmday Congratulations, you have the dumbest take and will probably die a karmic death to coronavirus in this no sick days, no health insurance climate.	1235048769865080832
Awareness	The Trump administration is trying to put together an  emergency financial package to give people paid sick leave to try to contain the corona virus.   It's just staggering in a country this rich that paid sick leave is still not provided for so many workers here.	1237496117497081857
Infection	@econjared Look at the bright side.  Maybe one of these @McDonalds workers without paid sick days can sneeze on @realDonaldTrump ‘s #1 supersized?  A Big Mac special sauce for el jefe?  #coronavirus possible upside?	1237164790805680128
Awareness	The corona virus is bullshit, I’ve already drank three cases and I haven’t been sick #FakeNews	1236297561432043520
Awareness	There’s a woman at work who’s got all the symptoms of corona yet she’s not even been sent home 😂😂	1237359344167116800
Infection	it's announced that Trudeau's wife is sick with Coronavirus and hard core conservatives STILL can't read the writing on the wall. https://t.co/HotWUHPcqM	1238293042827866112
Infection	I'm feeling a lil sick today and my brain just immediately went: CORONA VIRUS because I'm a bit of a hypochondriac so thanks for that brain.	1233444318205091840
Awareness	We’re all racists, it’s just a matter of degree. If The Wall Street Journal’s ‘Sick Man of Asia’ headline was racist, was it more offensive than the CCTV variety show featuring blackface? Unlike China, at least the US admits it has a problem. https://t.co/06Nog0Y5Tv	1235367048273948674
Infection	Sore throat, runny nose, and now fever. Hopefully its not corona 😷	1237327738718973953
Awareness	So basically, if you see a jihadi terrorist running towards you, cough on him  🦠💪🏻   https://t.co/ymy0yM06PH	1238597041049214976
Awareness	Walmart, Lyft and Uber expand sick leave policies amid coronavirus outbreak https://t.co/RJj69KuSnD	1237793325819637760
Infection	My first patient in GP clinic this morning had a fever, cough and returned from Rome 5 days ago. Told by NHS 111 service last week not #COVID19 as Rome not northern Italy	1234555328781484032
Awareness	As coronavirus spreads, the CDC urges sick workers to stay home — but what if you don’t get paid sick leave? - MarketWatch https://t.co/GkeZPydBEB	1235174657378177024
Infection	@PoppyHarlowCNN Putting a very sick individual with Corona Virus on TV who had underlying issues is just a scare tactic to scare the public.  Most individual (80%) who get the virus do not need to go to the hospital.	1237729364248276994
Infection	So there you go. Euthanasia of the sick and elderly taken care of by the Tories courtesy of Corona. Can you imagine Jeremy Corbyn saying something like this for one single moment? https://t.co/vasqoNYYF1	1237096260450074624
Awareness	@JoeNBC spin-fake news. if u r sick, see ur doctor, n ur doctor will decide if u need testing. POLITICIZATION OF THE CORONA VIRUS IS THE NEW HOAX. swine flu: 60.8 million cases, 274,304 hospitalizations, and 12,469 deaths in usa--handled poorly by obama. https://t.co/u7hycjHsem	1236074582861164544
Infection	“Two Trump allies got coronavirus tests despite shortage and lack of symptoms” SHOCKING! 🙄 https://t.co/zBAv6bwja2	1237802016975413249
Infection	Netanyahu takes precautionary test for coronavirus despite lack of ANY symptoms https://t.co/MbU0UG4OSd https://t.co/KB7N8N2ZUV	1239196044077854720
Awareness	'Fever clinics' are opening in Australia for people who think they're infected with the coronavirus. Why? https://t.co/Wu4yONljuk via @ConversationEDU	1236790549387988993
Awareness	Similarly, you're going to get corona by someone touching you, or other vectors the mask doesn't stop. The mask might help if someone is coughing directly onto you regularly: not a problem, unless you're treating the sick.	1235241592447029249
Awareness	@ReJennerating @MadFckingWitch And if you don't have CV19, you will by the time you leave that queue of sick people. #COVID19 #coronavirusaustralia #ScottyFromMarketing #LNPfail	1237216114494418944
Awareness	- Avoid shaking hands. - If you have the flu or some other illness, avoid the Metro and other public transport. Avoid public places, even the Mosque (pray at home). - Wash and sanitize your hands frequently. - When you cough or sneeze, do it in your elbow. @COVID19 https://t.co/1wI4UWB0DJ	1233658767868297216
Awareness	yo my prof just said she's not taking attendance anymore because she doesn't want us coming to class sick in case of the corona virus lmfao	1234872724482334720
Infection	Anyone else low key terrified to cough or even clear their throat in public #coronavirus #COVID2019uk scared for my life 😭	1237301305758138368
Awareness	Cabin crew tackle woman who ‘coughed on them deliberately causing virus panic’ https://t.co/hUH8iZP3Tk	1236880908545929217
Awareness	Health care workers call on Doug Ford government to reinstate paid sick days | CBC News   #SocialSafetyNet #COVID19    https://t.co/N4RKxNwCMw	1237036168367075329
Awareness	told my brother &amp; mom who has a respiratory issue that they shouldn’t go to some big basketball tournament this weekend bc the state it’s in declared a state of emergency bc of the coronavirus &amp; mom is at a higher risk of getting really sick &amp; they...got irritated? okay	1237203266502615041
Infection	the corona virus has the same symptoms as the flu and 8492020203 other diseases imagine i do the test worry the whole ass family and all i have is allergic reactions	1239687821469900802
Awareness	You know what kept me calm.  Me telling myself I was going to make it.  I had a really bad cough, sore throat, stuffy nose.  It was not pretty.  I did not go to the doctor.  The cold or virus eventually passed.  God is good!  #Coronavirus	1238648797472985089
Awareness	@Schandillia @Memeghnad @Shehla_Rashid These jokers r confusing their heart burn to corona symptoms	1239622451513847808
Awareness	5. Asymptomatic transmission is very rare with COVID19 because people usually end up showing symptoms days later.	1237090500865392643
Awareness	I am:   ⚪️ a man   ⚪️ a woman   🔘 social distancing   due to:   ⚪️ coronavirus  ⚪️ one direction infection  🔘 bieber fever	1239423122203279361
Awareness	Please no more #COVID19 emails from every company I have ever had contact with in my life. No one thinks you are not cleaning/sanitizing your stores/businesses or making your employees come in sick. #CoronaVirus 🦠	1237870931076198405
Awareness	For those of us who are heartily sick of the birthday song already: https://t.co/VfklpoNv0j	1237387096081473536
Infection	@charliekirk11 Dammit!! I thought the Dems were going to make us sick and poor. When the Corona Virus fades and the stock market rebounds, we will find out Obama magically fixed it all.	1234607215056543746
Infection	Me: Yeah babe I don’t wanna tell anyone I’m sick bc they’re gonna freak and think I have the corona virus  LITERALLY KELLAN:  *posts pic of me sick on snap* AND *posts pic of me on IG captioning it how sick I was all break* 🙂	1236852560905908224
Infection	50% of care workers at retirement home with a coronavirus outbreak showing symptoms is a really ominous sign for its infection rate https://t.co/3u6rMBglgq https://t.co/bYHZ66tO1s	1237086198142832641
Infection	so i guess anybody with cold / flu-like symptoms is subject to coronavirus quarantine now 😂😂	1237104457680330752
Awareness	Coronavirus in Italy: "Testing is free, preliminary results are available &amp; public w/in hours, anyone who needs to stay home gets paid sick leave, &amp; under the Italian National Health Service nobody pays a penny for doctors, Emergency Rooms, or intensive care." #MedicareForAll	1235982832897531904
Awareness	Commercial Voiceover: “Are you sick of your Quaranteenager?” #coronavirus #Quarantine #cabinfever	1238957237453938690
Awareness	Is it allergies, the flu or the coronavirus? How to tell the difference. This article fails with allergies. Allergies can make you cough or trigger an asthma attack besides having itchy eyes, sneezing and a runny nose.  https://t.co/GlgUaRGlXC	1237828284936785922
Awareness	@realDonaldTrump should feel safe knowing that his KFC, and Mc Nuggets were made by a person who couldn't afford to take a sick day, not to mention two weeks.  Your happy meal comes with a Corona, virus. https://t.co/Xy5hGb0aCr	1237884687965540353
Infection	I have a cough and am getting sick what if I have the coronavirus	1233249487688212481
Awareness	I’m desperate that Indonesia’s Government makes the corona test is hardly accessible (you either had the contact with cases or were overseas to be referred for the tests). Meanwhile in Singapore, people with symptoms are treated like corona until the test is negative.	1237251433516265473
Infection	Ave literally just got a common cold/flu yet my mam keeps calling and sending me info about symptoms of coronavirus lool relax	1233768278121644032
Awareness	Cleared to fly despite showing symptoms and reaching out to the CDC.  Milan -&gt; New York -&gt; Tampa last week.  https://t.co/EMriq4Oz59	1235220585208254464
Infection	Is it allergies, the flu or the coronavirus? How to tell the difference https://t.co/lYbrZYhcfT	1237753705652510728
Infection	Coronavirus symptoms: What are they and how do I protect myself? https://t.co/H8L2thAOoL	1237138258989142024
Awareness	@realDonaldTrump They're going to be obliterated, as most of the people are working two jobs to pay rent, have no sick time at all, and are coming to work sick with coronavirus.	1237587804533579781
Awareness	@dayraainlove @CallMeNeeks_BD Sick in bed. Getting over the Coronavirus symptoms.	1236803093519466497
Awareness	@julztravels @Marypostcards @emyryly @StoneMavenArt @LauraRoose @CreativeDem @hermione278 @rosewhoknows @seattle_texan1 @GlantzRobert @RPostcard @HouseOfRachael @srinsr @chrischris_78 @chrisdelyani @krystolle @Chromabunny @charosb @v_e_e_e_e @CharlotteGOTV @CitiMutts @jess13771 Thank you—I have been making postcards to self-soothe as I have a family member currently showing symptoms of coronavirus. Fortunately she is young &amp; otherwise healthy.	1239338652645437441
Awareness	Coronavirus cabin fever? Here's a 3-hr solution to use twice this week! Give your child a practice SAT, then later this week, an ACT.  I can review and determine the better fit, for free.  Choosing SAT or ACT is one of the most important steps in the admissions process.	1239635696962412544
Awareness	Senate Majority Leader Mitch McConnell (R-Ky.) wants you to go broke, get evicted and die  as they dump trillions on Wall Street, your sick paid leave bill the Democrats passed in the House, is going up in smoke in the Senate  https://t.co/SxuPDhlBGr	1239894143356280832
Awareness	@realDonaldTrump So that is why you ordered the CDC officials not to speak about the Coronavirus, encouraged people to continue working even with symptoms, and put Pence in charge after he managed the Indiana HIV breakout poorly.  Your response. https://t.co/w1xWEpthFu	1237897547269595137
Awareness	Coronavirus: What you need to know as first case confirmed in Scotland https://t.co/QvFaFooDCr	1234208785033502726
Infection	Our neighbor school got closed because of corona and we literally have the same teachers... I WANT TO STAY AT HOME TOO...but I’m sorry for the sick teacher...BUT STILL...THIS IS NOT FAIR!!!!	1238071321793363969
Infection	WA's first coronavirus clinics open today. They'll be the first stop for West Aussies experiencing symptoms.  Darius Winterfield has the details. #9News https://t.co/GcJkpVbZjI	1237178162049626112
Infection	@WorldOfMarkyD Doctors work when they are unwell. We always have. Cancel one day and you struggle for the next two weeks to catch up. Why would it have occurred to him he had corona virus??  He had minor symptoms of upper respiratory tract inf’n. Not from high risk area.	1236252227351662592
Awareness	Heaven forbid Health Insurance Companies miss a chance to bankrupt sick people. https://t.co/wveUYWN03S #p2 #tcot #Prolife #VoteBlue	1238202768848011282
Infection	Tasha, don't panic Tasha, don't panic Tasha, don't panic Tasha, don't panic Tasha, don't panic Tasha, don't panic Tasha, don't panic Tasha, don't panic  👇🏾  Coronavirus hits Harris County, Fort Bend and the Houston area. Here's what we know so far. https://t.co/OXZUABWgSd	1235681843917336577
Awareness	@SweeneyMomma @Inevitable_ET There is a lab in wuhan China that synthesizes adrenochrome. It is hypothesized that  corona virus and adrenochrome were contaminated together. When Epstein was busted their natural supply dried up. Perhaps (the sickos)started getting it from that lab. Thus now their getting sick	1239090399211335681
	Fuck the coronavirus, me and my homies got Bieber fever https://t.co/cjXb7ytiRn	1236769305985003526
Awareness	Just as a heads up - general consensus among medical professionals as of now is that if you are suffering from a fever do NOT use Advil or any NSAID's, but instead use Tylenol (acetaminophen). #COVID19   https://t.co/TLPWKLYUwX	1239621079062249472
Infection	You said what you said!! You claimed that girl was fucking his brother! You’re the sick one 😷 #coronavirus	1237109972426788867
Infection	Our lack of guaranteed sick days and health care might finally be biting us in the ass with coronavirus https://t.co/YTcuZ0RKaH via @voxdotcom	1233243852464689154
Awareness	Feeling coronavirus ‘cabin fever,’ cruise passengers eager to land in Oakland https://t.co/Ip0h9vfL3l	1237019489285234688
Infection	@jgibbjr @AnnieOldenough @chrislhayes There was no exposure. Chris wants you to think there was, but he's conflating two unrelated stories in the hopes you'll be too stupid to understand how he's misleading you. HHS met with non-infected evacuees from China. None were sick, none are sick. https://t.co/NIDTS9VGDa	1233347247670267907
Awareness	Secretary of State for Transport was seen looking daggers at Raab as the foreign secretary spewed into his hand 🤢  https://t.co/Dt5G0kcPcb	1237780321816494080
Awareness	#COVID19 (#Coronavirus) What is the recommendation regarding tamiflu use in suspected cases? I checked this on uptodate and they recommended that patients with symptoms should receive the "usual care for patients with flu", which seems dubious.... Who knows/guess this?	1234836365914886146
Awareness	While St. Joe’s students are on spring break, the university is preparing for potential cases of the #coronavirus, cancelling university-sponsored travel, providing training for online classes and advising sick students and faculty to stay home. Read more: https://t.co/ZtGoj1vsxy	1237216732185538560
Awareness	#coronavirus: Lab results are pending for four people from Mexicali and two from Tijuana who traveled to northern Italy recently and have exhibited symptoms of respiratory illness. https://t.co/TURrmgQWOW	1235633496418209792
Awareness	@mkraju @realDonaldTrump is a dangerous moron  His ‘I don’t feel sick’ response ensures the #Coronavirus will continue to spread   He’s potentially been exposed &amp; should be quarantined and tested until we know he is clear of infection   Otherwise he continues to spread the disease	1237465832050937856
Infection	South African coronavirus case arrived home not showing symptoms: minister https://t.co/QM6fdOLH3N https://t.co/XiMEqy6cYc	1235583734868398081
Infection	@KellyWebb41 He's sick. Not sure what. But ... we're all wondering if it's the coronavirus	1237925896289431553
	Attention #SWFL! If you have been to Macy’s at Edison mall in recent months, keep an eye on your symptoms! #coronavirus   https://t.co/cCxx9vH2oo	1238938679873323009
Awareness	Who is getting sick, and how sick? A breakdown of coronavirus risk by demographic factors https://t.co/cAEeMrUs5F via @statnews	1236089117324107776
Awareness	"As a basic employment right, everyone should have paid sick time."   ABB Co-President Sherry Leiwant joined @WBAI to discuss the urgent need for #paidsickdays amidst the #COVID19 outbreak. https://t.co/0RW34CV3rF	1237056511144312833
Awareness	@BYU Sadly, a new study indicates people are MOST contagious in the early phase of COVID -19, even if symptoms are mild.  https://t.co/0XISGUVouL	1237196445872054272
Awareness	@TechstartGrants we need a app like this to self report felling well or ill; with symptoms reported under ill option then we healthy people can avoid the ill people and the ill people get support. @EmilyThornberry #coronavirus https://t.co/lK5Aze4TRF	1236953225275871232
Awareness	What I don't get about this outbreak of coronavirus is what is the difference between the symptoms of that and flu?	1235466952467939328
Infection	1/ 'Not testing alone, not contact tracing alone, not quarantine alone, not social distancing alone, do it all' - WHO Director-General Tedros Adhanom Ghebreyesus, Mar 13, 2020. If UK govt. abandons testing for suspected mild symptoms of #COVID19, it no longer cares about total	1238631644564795392
Infection	@tedhesson I've read over &amp; over that President Tr**p says the coronavirus is a HOAX ‼️ So why would u have to close a border❓  Is this a hoax? Which is the hoax? It's all a hoax?  Who is sick of the word "hoax"  #hoax  #OMG	1233827733395787776
Awareness	Ok, I’m now officially totally fed up with #ReligiousZealotry: 1 #SouthKorea, currently No2 in #Covid19 cases &amp; growing rapidly, virus spread through 210,000 strong #Shincheonji #ChristianSect that demanded attendance of sick people as a test of faith. (https://t.co/BGCWnt3SUA)	1233752194211557378
	A Downing Street source says Prime Minister Boris Johnson has no coronavirus symptoms so there is no need for him to have a test (SKY)	1237702214967328780
Awareness	"If you're near someone who is sick, I would move," NJ health commissioner says after announcing state's first death from coronavirus.	1237422028191391745
Infection	it’s been 5 days since we got back from italy and my mum is feeling lots of symptoms of coronavirus ☹️ i’m 80% sure she has caught it but we called up and they just told her to stay at home so she can’t even get tested. she isn’t too ill it’s just :/ UGHHH	1239181126125707264
Infection	@CDCgov @WHO @MSNBC @CNN I arrived at @JFKairport today on a flight from Kenya. No staff checked the passengers for fever.  At the airports in Cape Town, Johannesburg, and Nairobi, staff used a digital thermometer to screen all arriving passengers for #coronavirus.  Why not here?	1233895603027030019
Infection	I feel so fucking sick wtf man than people at work make it even worse oh u got the corona virus	1237173435614273540
Infection	@Andrew58746547 @SkyNews @GOVUK @PHE_uk Call GP or 111 and tell them if you become worse after 7 days with coronavirus symptoms. Maybe they will arrange a test then. Maybe some people will just get better as younger and fitter people will be able to shake it off The next week or two are going to be insane	1237119158070005762
Awareness	#coronavirus #coronavirus It's comforting really in our age of A.I. &amp; Apps-for-everything that the 21st Century cutting edge response to a global pandemic is stuff your nan told you to do A) Don't cough &amp; sneeze without covering your mouth. C)Wash your hands more #Nanatechnology	1233050399105482753
Awareness	if the doctor says you have corona symptoms is that..?😳	1237275066661888001
Awareness	Welp. The coronavirus just hit new Orleans. Just hope I don't get sick or anyone sick.	1237513696835846148
Awareness	This is what it’s like in the SF Bay Area at #Costco — NO TP!   Tryna prepare.   By the way, if you wear a mask, PLEASE DO NOT.  Wear gloves. If you must.  Stay 2m away from those who appear sick. Wash your hands for 20 sec.  Next to @otheravenues for bulk food.  #COVID19	1233590956630241280
Infection	California employees who lose work because of the coronavirus may be eligible for a range of benefits including paid sick leave, paid family leave, unemployment insurance and state disability insurance. https://t.co/wnIcLR7Iqx	1236114020811321345
Infection	Seattle woman with coronavirus symptoms shares her infuriating attempts to get tested https://t.co/k05ZuzpnFG	1234970509776805888
Awareness	Before you say that it doesn't matter if you get the coronavirus you can do whatever you want bc you'll be fine, remember that it is not about you. It is about you catching it and giving it to other people who are elderly or sick who cannot survive this.	1239666205197242370
Awareness	"What Does the Coronavirus Do to the Body?" Pam Belluck https://t.co/BAnsofcMhN	1237957843040587776
Awareness	How to prepare for coronavirus in the U.S. (Spoiler: Not sick? No need to wear a mask.) https://t.co/41owmzl7yx	1234774340425658368
Infection	@MeghanMcCain Yep, and enjoy the spread of COVID19 as there’s no public health system or sick pay for your most vulnerable, as they cough over your takeaway when they deliver and doors as they clean your bathrooms 👍	1235059763005624321
Awareness	Just read it on TV that people having flu, cold, temperature/fever should not go to watch #PSL2020 matches in #Karachi.  Is this the way to control #coronavirus in a highly populated city?  #CoronaVirusUpdate #CoronaVirusPakistan #PSLV2020 #PSL https://t.co/8MRiWXXQhR	1237752303811211264
Awareness	@psomdecerff Based on the people of #Wuhan and #China (in general) they could have the virus up to 24 days before having visible symptoms.  In all actuality with all the secrets surrounding #coronavirus how can we even have a true grasp of it.	1237143109932204034
Infection	Corona virus do be havin me scared to cough tho	1238196554126802947
Awareness	@SecAzar  You do your part,educate public re: Corona V.Plenty info is avail.on protection.  Need PSA stress : containing individual's resp.droplets when expell, before spreads onto others  or surfaces. Cough/sneeze into the crook of your elbow  DON'T ASSUME ppl know to do this !	1234174347247603712
Awareness	Apple provides retail staff with coronavirus signs limitless unwell depart https://t.co/0gAdjQu0A4 #android	1237278806290939904
Infection	A major danger of this disease is spreading it when you have no symptoms. #corona #coronavirus https://t.co/P0n3XIA8zW	1239284411796869120
Awareness	Coronavirus: UK prepares to ask even mildly sick to stay home https://t.co/pUXjwh101T #Politics #Coronavirus	1237304724627521537
Awareness	NYC fortunately has #paidsickdays, but 42% of low-income workers aren’t aware of it. As we face #coronavirus, we need to enact a public outreach campaign so workers know their rights.   Read today’s testimony from @narankin: https://t.co/1ga8hmg37S https://t.co/IhEYnkBqcb	1235626878645526529
Awareness	White House advisers to give President Trump policy options for coronavirus response, including paid sick leave https://t.co/PphEoQFtU0	1237048098515451906
Infection	I think what's bothering me most about the #coronavirus is that it affirms my lack of faith in my fellow man. Like, I didn't need proof that people only cared about stopping the spread of viruses once the healthy were getting sick, but here we are.	1237032892586323968
Infection	Sick of singing ‘Happy Birthday’ while washing hands to fight coronavirus? Try these pop hits instead https://t.co/IxIufeZPQ3	1235684584727212033
Awareness	This is my hometown, and I am praying that my elderly neighbors don't get it. After warning my family about it, I found out my cousin's son had class with the son, whose showing symptoms, at YU on Thursday. Yesterday, I finally gave into the #Coronavirus fear. It is really scary. https://t.co/1j3pH7njIT	1235205091520471046
Awareness	in the wake of  #coronavirus we must change the perspective that masks are only for the sick &amp; the person who wear it is sick. You should start wearing it as prevention sta. Numbers in us are rising more than a lot of neighboring Asian countries where plp wore masks since day 1	1237598593898270721
Awareness	@lynlinking Coronavirus notwithstanding, what the fuck is wrong with adults who don't cover their mouth when they cough or sneeze in public?  Basically, you've picked your nose, dug something from between your teeth, and flicked it into the air  Smaller, perhaps, but the content is the same	1236896560903905280
Infection	@AdyBarkan @JordanUhl As a restaurant worker, just saying, if I get sick I HAVE to go to work. This capitalist system has forced me to choose between a day of unpleasantness and missing a rent payment. #coronavirus	1237267597479067648
Awareness	14 out of 21 Italian nationals have been tested positive as of now in Delhi. They are isolated. Have not yet shown any symptoms of disease but have virus overload. #coronavirus #Corona  #2019nCoV #CODVID19  #COVID2019  #CoronavirusReachesDelhi	1235093727816732672
Awareness	BBC News - Coronavirus symptoms 'take five days to show' https://t.co/jNheL0ZRIG	1237179504650596357
Awareness	@Jean58680787 Yes, I know. Coronavirus symptoms are very similar. Fever, sore throat, dry cough. How would you know if it's the novel coronavirus or another cold or flu virus?	1237121805153861632
Awareness	T Manager I Just Figured It Out How To Get TaeYeon Out Of South Korea And Out Of Arms Way So She Don't Get Sick With The Coronavirus She Would Have To Come To My State Nashville Tennessee I Love You Your Welcome This Is For Me For Helping Out That My Job Is To Support Singers	1237162104035192833
Awareness	BREXIT BLOCK: Labour hopeful calls for transitional period DELAY because of 'uncertainty' https://t.co/LcjvwVp95f More proof of nutty useless labour Leader "Hopefuls" the standard of intelligence diminishes daily???	1237338198642171904
